01,8
02,8
03,4
04,4
05,4
06,4
07,4
08,4
09,4
10,4
11,4
12,4
13,4
14,4
15,4
16,4
17,10
18,10
19,10
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
41,66
42,15
43,40
44,3
45,30
46,3
47,50
48,24
49,24
50,2
51,18
52,2
53,20
54,20
55,20
56,5
57,20
58,40
59,5
60,2
61,5
62,8
63,5
64,8
65,44
66,2
67,7
68,7
69,14
70,32
71,2
72,2
73,2
74,7
75,7
76,26
77,26
78,2
79,17
80,26
81,2
82,24
83,6
84,1
85,6
86,24
87,24
88,11
89,22
90,4
91,6
92,6
93,11
94,22
95,22
96,1
97,1
98,1
99,1
00,1
01,10
02,20
03,20
04,20
05,1
06,1
07,5
08,20
09,1
10,10
11,19
12,1
13,1
14,1
15,5
16,5
17,18
18,18
19,5
20,5
21,18
22,18
23,1
24,1
25,1
26,5
27,9
28,9
29,1
30,1
31,4
32,16
33,16
34,1
35,1
36,1
37,1
38,8
39,8
40,16
41,16
42,1
43,1
44,1
45,4
46,16
47,16
48,24
49,1
50,1
51,4
52,7
53,7
54,7
55,7
56,14
57,14
58,14
59,14
60,14
61,14
62,14
63,2
64,2
65,2
66,4
67,7
68,7
69,14
70,14
71,14
72,14
73,14
74,14
75,22
76,22
77,1
78,1
79,1
80,1
81,1
82,1
83,4
84,7
85,13
86,13
87,21
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,3
96,6
97,6
98,12
99,12
00,12
01,12
02,1
03,1
04,1
05,3
06,3
07,3
08,3
09,6
10,6
11,6
12,12
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,3
21,6
22,12
23,12
24,12
25,12
26,12
27,12
28,12
29,12
30,19
31,1
32,2
33,2
34,2
35,2
36,2
37,3
38,3
39,6
40,6
41,11
42,11
43,11
44,11
45,11
46,11
47,11
48,11
49,11
50,11
51,11
52,17
53,17
54,17
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,5
64,5
65,5
66,5
67,5
68,10
69,10
70,10
71,10
72,10
73,10
74,10
75,16
79,3
80,3
81,3
82,3
83,6
84,6
85,6
86,6
87,10
88,10
89,10
90,10
91,10
92,10
93,15
94,15
95,15
96,1
97,1
98,1
99,1
00,1
01,1
02,1
03,3
04,5
05,5
06,5
07,10
08,10
09,10
10,10
11,10
12,14
13,14
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,2
27,2
28,2
29,4
30,4
31,4
32,4
33,8
34,8
35,8
36,8
37,8
38,8
39,13
50,2
51,2
52,2
53,2
54,2
55,8
56,8
57,8
58,8
59,8
60,8
61,8
62,8
63,12
64,12
65,1
66,1
67,1
68,1
69,1
70,2
71,2
72,4
73,7
74,7
75,7
76,7
77,7
78,11
79,11
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,3
95,3
96,3
97,6
98,6
99,6
00,6
01,10
02,10
03,10
04,1
05,1
06,1
07,1
08,1
09,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,2
19,2
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,6
31,6
32,6
33,6
34,6
35,6
36,6
37,6
38,6
39,6
40,6
41,9
42,9
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,2
52,2
53,2
54,2
55,2
56,2
57,3
58,3
59,3
60,6
61,6
62,6
63,6
64,6
65,6
66,6
67,6
68,6
69,6
70,8
71,8
72,8
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,2
89,2
90,2
91,2
92,4
93,4
94,2
95,2
96,2
97,2
98,4
99,4
00,4
01,4
02,4
03,4
04,7
05,7
06,1
07,1
08,1
09,1
10,1
11,1
12,1
13,1
14,1
15,1
